Item,condition,Sentence,Response,part of speech,interpretation,note
103,MVR,+ + + The woman brought the mail ...,from manager,PP,main verb,
104,MVR,+ + + The boy fed the chicken ...,to,PP,main verb,
104,MVR,+ + + The boy fed the chicken ...,seeds,NP,main verb,
104,MVR,+ + + The boy fed the chicken ...,kernels,NP,main verb,
104,MVR,+ + + The boy fed the chicken ...,some,DO/relative clause,ambig,
104,MVR,+ + + The boy fed the chicken ...,in the morning,PP,main verb,
104,MVR,+ + + The boy fed the chicken ...,grain,NP,main verb,
104,MVR,+ + + The boy fed the chicken ...,corn,NP,main verb,
104,MVR,+ + + The boy fed the chicken ...,feed,VP(ungram),NA,
104,MVR,+ + + The boy fed the chicken ...,food,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,barn,ungram,NA,
104,MVR,+ + + The boy fed the chicken ...,with foods,PP,main verb,
104,MVR,+ + + The boy fed the chicken ...,grains,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,tenders,compound,ambig,
104,MVR,+ + + The boy fed the chicken ...,while,conj,main verb,
104,MVR,+ + + The boy fed the chicken ...,seed,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,a,DO/relative clause,ambig,
104,MVR,+ + + The boy fed the chicken ...,meal,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,directly,adv,ambig,
104,MVR,+ + + The boy fed the chicken ...,oats,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,fed,VP,reduced relative,amb
104,MVR,+ + + The boy fed the chicken ...,fruit,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,grass,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,to his dog,PP,main verb,
104,MVR,+ + + The boy fed the chicken ...,scraps,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,piece,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,boy,ungram,NA,
104,MVR,+ + + The boy fed the chicken ...,lettuce,DO,main verb,
104,MVR,+ + + The boy fed the chicken ...,away,ungram,NA,
104,MVR,+ + + The boy fed the chicken ...,bugs,DO,main verb,
105,MVR,+ + + The new doctor offered the operation ...,new,ungram,NA,
105,MVR,+ + + The new doctor offered the operation ...,free of charge to the woman,PP,main verb,
105,MVR,+ + + The new doctor offered the operation ...,for,PP,ambig,
105,MVR,+ + + The new doctor offered the operation ...,before,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,tomorrow,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,nonchalantly,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,kits,compound,ambig,
105,MVR,+ + + The new doctor offered the operation ...,to,PP,main verb,
105,MVR,+ + + The new doctor offered the operation ...,to a patient,PP,main verb,
105,MVR,+ + + The new doctor offered the operation ...,free,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,without,PP,ambig,
105,MVR,+ + + The new doctor offered the operation ...,to the new patient,PP,main verb,
105,MVR,+ + + The new doctor offered the operation ...,to other doctor,PP,main verb,
105,MVR,+ + + The new doctor offered the operation ...,totally,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,gratis,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,for free,PP,ambig,
105,MVR,+ + + The new doctor offered the operation ...,successfully,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,cheaply,adv,ambig,
105,MVR,+ + + The new doctor offered the operation ...,as,PP,ambig,
105,MVR,+ + + The new doctor offered the operation ...,a,DO/relative clause,ambig,
105,MVR,+ + + The new doctor offered the operation ...,table,compound,ambig,
105,MVR,+ + + The new doctor offered the operation ...,treatment,compound,ambig,
105,MVR,+ + + The new doctor offered the operation ...,discount,compound,ambig,
105,MVR,+ + + The new doctor offered the operation ...,rates,compound,ambig,
105,MVR,+ + + The new doctor offered the operation ...,to the patient,PP,main verb,
105,MVR,+ + + The new doctor offered the operation ...,low price,ungram,NA,
106,MVR,+ + + The professor awarded the grant ...,correctly,adv,ambig,
106,MVR,+ + + The professor awarded the grant ...,to,PP,main verb,
106,MVR,+ + + The professor awarded the grant ...,today,adv,ambig,
106,MVR,+ + + The professor awarded the grant ...,money,compound,ambig,
106,MVR,+ + + The professor awarded the grant ...,which,relative clause,ambig,
106,MVR,+ + + The professor awarded the grant ...,reluctantly,adv,ambig,
106,MVR,+ + + The professor awarded the grant ...,yesterday,adv,ambig,
106,MVR,+ + + The professor awarded the grant ...,to the student s project,PP,main verb,
106,MVR,+ + + The professor awarded the grant ...,to the wife,PP,main verb,
106,MVR,+ + + The professor awarded the grant ...,award,compound,ambig,
106,MVR,+ + + The professor awarded the grant ...,to the best student,PP,main verb,
106,MVR,+ + + The professor awarded the grant ...,from,PP,ambig,
106,MVR,+ + + The professor awarded the grant ...,was,VP,reduced relative,
106,MVR,+ + + The professor awarded the grant ...,without,PP,ambig,
106,MVR,+ + + The professor awarded the grant ...,funds,compound,ambig,
106,MVR,+ + + The professor awarded the grant ...,thoughtfully,adv,ambig,
107,MVR,+ + + The technician refused the service ...,of,PP,ambig,
107,MVR,+ + + The technician refused the service ...,because,conj,main verb,
107,MVR,+ + + The technician refused the service ...,fee,compound,ambig,
107,MVR,+ + + The technician refused the service ...,to the customer,PP,main verb,
107,MVR,+ + + The technician refused the service ...,call,compound,ambig,
107,MVR,+ + + The technician refused the service ...,tomorrow,adv,ambig,
107,MVR,+ + + The technician refused the service ...,when,conj,main verb,
107,MVR,+ + + The technician refused the service ...,unfortunately,adv,ambig,
107,MVR,+ + + The technician refused the service ...,that,relative clause,ambig,
107,MVR,+ + + The technician refused the service ...,quickly,adv,ambig,
107,MVR,+ + + The technician refused the service ...,today,adv,ambig,
107,MVR,+ + + The technician refused the service ...,for customers,PP,main verb,
107,MVR,+ + + The technician refused the service ...,and,compound,ambig,
107,MVR,+ + + The technician refused the service ...,offer,VP(ungram),NA,
107,MVR,+ + + The technician refused the service ...,payment,compound,ambig,
107,MVR,+ + + The technician refused the service ...,agreement,compound,ambig,
107,MVR,+ + + The technician refused the service ...,manual,compound,ambig,
107,MVR,+ + + The technician refused the service ...,mechanic,compound,main verb,
107,MVR,+ + + The technician refused the service ...,immediately,adv,ambig,
107,MVR,+ + + The technician refused the service ...,outright,adv,ambig,
107,MVR,+ + + The technician refused the service ...,computer,ungram,NA,
107,MVR,+ + + The technician refused the service ...,request,compound,ambig,
107,MVR,+ + + The technician refused the service ...,service,ungram,NA,
107,MVR,+ + + The technician refused the service ...,appointment,compound,ambig,
107,MVR,+ + + The technician refused the service ...,to the delinquent,PP,main verb,
107,MVR,+ + + The technician refused the service ...,fully,adv,ambig,
107,MVR,+ + + The technician refused the service ...,the,relative clause,ambig,
107,MVR,+ + + The technician refused the service ...,contract,compound,ambig,
107,MVR,+ + + The technician refused the service ...,due to high cost,PP,ambig,
108,MVR,+ + + The mechanic brought the truck ...,truck,ungram,NA,
108,MVR,+ + + The mechanic brought the truck ...,back to the owner,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,in,PP,ambig,
108,MVR,+ + + The mechanic brought the truck ...,into,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,home,adv,main verb,
108,MVR,+ + + The mechanic brought the truck ...,back,adv,main verb,
108,MVR,+ + + The mechanic brought the truck ...,over,adv,main verb,
108,MVR,+ + + The mechanic brought the truck ...,to the shop,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,to,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,with,PP,ambig,
108,MVR,+ + + The mechanic brought the truck ...,from the man,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,in time,PP,ambig,
108,MVR,+ + + The mechanic brought the truck ...,around,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,in the garage,PP,ambig,
108,MVR,+ + + The mechanic brought the truck ...,for driving,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,inside,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,onto,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,downtown,adv,main verb,
108,MVR,+ + + The mechanic brought the truck ...,to farmland,PP,main verb,
108,MVR,+ + + The mechanic brought the truck ...,in the store,PP,ambig,
109,MVR,+ + + The guitarist assigned the song ...,forwards,ungram,NA,
109,MVR,+ + + The guitarist assigned the song ...,to,PP,main verb,
109,MVR,+ + + The guitarist assigned the song ...,rosanna,compound,ambig,
109,MVR,+ + + The guitarist assigned the song ...,lyrics,compound,ambig,
109,MVR,+ + + The guitarist assigned the song ...,that,relative clause,ambig,
109,MVR,+ + + The guitarist assigned the song ...,performance,compound,ambig,
109,MVR,+ + + The guitarist assigned the song ...,to himself,PP,main verb,
109,MVR,+ + + The guitarist assigned the song ...,amazing,ungram,NA,
109,MVR,+ + + The guitarist assigned the song ...,smooth,ungram,NA,
109,MVR,+ + + The guitarist assigned the song ...,appropriately,adv,ambig,
109,MVR,+ + + The guitarist assigned the song ...,first,adv,ambig,
109,MVR,+ + + The guitarist assigned the song ...,to the class,PP,main verb,
109,MVR,+ + + The guitarist assigned the song ...,sing,ungram,NA,
109,MVR,+ + + The guitarist assigned the song ...,to the singer,PP,main verb,
109,MVR,+ + + The guitarist assigned the song ...,to play,CP,ambig,
109,MVR,+ + + The guitarist assigned the song ...,yesterday,adv,ambig,
109,MVR,+ + + The guitarist assigned the song ...,played,VP,reduced relative,amb
109,MVR,+ + + The guitarist assigned the song ...,he,relative clause,ambig,
109,MVR,+ + + The guitarist assigned the song ...,a,DO/relative clause,ambig,
109,MVR,+ + + The guitarist assigned the song ...,to the drummer,PP,main verb,
109,MVR,+ + + The guitarist assigned the song ...,for,PP,ambig,
109,MVR,+ + + The guitarist assigned the song ...,to playlist,PP,main verb,
109,MVR,+ + + The guitarist assigned the song ...,accordingly,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,for,PP,ambig,
110,MVR,+ + + The athlete paid the bonus ...,to,PP,main verb,
110,MVR,+ + + The athlete paid the bonus ...,quickly,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,to his competitor,PP,main verb,
110,MVR,+ + + The athlete paid the bonus ...,back,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,money,compound,ambig,
110,MVR,+ + + The athlete paid the bonus ...,to charity,PP,main verb,
110,MVR,+ + + The athlete paid the bonus ...,foul,ungram,NA,
110,MVR,+ + + The athlete paid the bonus ...,amount,compound,ambig,
110,MVR,+ + + The athlete paid the bonus ...,payment,compound,ambig,
110,MVR,+ + + The athlete paid the bonus ...,perks,compound,ambig,
110,MVR,+ + + The athlete paid the bonus ...,so,conj,main verb,
110,MVR,+ + + The athlete paid the bonus ...,begrudingly,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,mark,ungram,NA,
110,MVR,+ + + The athlete paid the bonus ...,immediately,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,out immediately,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,cash,compound,ambig,
110,MVR,+ + + The athlete paid the bonus ...,bonus,ungram,NA,
110,MVR,+ + + The athlete paid the bonus ...,charitably,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,to his agent,PP,main verb,
110,MVR,+ + + The athlete paid the bonus ...,happily,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,while,conj,main verb,
110,MVR,+ + + The athlete paid the bonus ...,highly,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,eventually,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,rightaway,adv,ambig,
110,MVR,+ + + The athlete paid the bonus ...,fee,compound,ambig,
110,MVR,+ + + The athlete paid the bonus ...,yesterday,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,job,ungram,NA,
111,MVR,+ + + The nurturing journalist offered the job ...,was too emotional for her,VP,reduced relative,
111,MVR,+ + + The nurturing journalist offered the job ...,to,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,finally,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,promptly,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,to him,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,to her friend,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,immediately,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,to a new student,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,freely,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,to a nice person,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,role,compound,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,affectionately,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,to the intern,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,typist,ungram,NA,
111,MVR,+ + + The nurturing journalist offered the job ...,over,adv,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,offer,VP(ungram),NA,
111,MVR,+ + + The nurturing journalist offered the job ...,opening,compound,ambig,
111,MVR,+ + + The nurturing journalist offered the job ...,to others,PP,main verb,
111,MVR,+ + + The nurturing journalist offered the job ...,no application,ungram,NA,
112,MVR,+ + + The assistant manager assigned the training ...,needed,VP,reduced relative,amb
112,MVR,+ + + The assistant manager assigned the training ...,for,PP,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,today,adv,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,to,PP,main verb,
112,MVR,+ + + The assistant manager assigned the training ...,procedures,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,class,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,roles,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,work,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,schedule,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,list,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,regiment,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,hitherto,adv,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,room,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,exercise to the students,PP,main verb,
112,MVR,+ + + The assistant manager assigned the training ...,session,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,yesterday,adv,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,task,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,employee,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,to the employee,PP,main verb,
112,MVR,+ + + The assistant manager assigned the training ...,course,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,to his fellow workers,PP,main verb,
112,MVR,+ + + The assistant manager assigned the training ...,manager,compound,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,of,PP,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,according,adv,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,quickly,adv,ambig,
112,MVR,+ + + The assistant manager assigned the training ...,late,adv,ambig,
113,MVR,+ + + The mayor sent the document ...,to,PP,main verb,
113,MVR,+ + + The mayor sent the document ...,promptly,adv,ambig,
113,MVR,+ + + The mayor sent the document ...,over,PP,ambig,
113,MVR,+ + + The mayor sent the document ...,to the council leader,PP,main verb,
113,MVR,+ + + The mayor sent the document ...,back,adv,main verb,
113,MVR,+ + + The mayor sent the document ...,in the mail,PP,ambig,
113,MVR,+ + + The mayor sent the document ...,inside,adv,main verb,
113,MVR,+ + + The mayor sent the document ...,out,adv,main verb,
113,MVR,+ + + The mayor sent the document ...,to the higher officials,PP,main verb,
113,MVR,+ + + The mayor sent the document ...,files,compound,ambig,
113,MVR,+ + + The mayor sent the document ...,using,reduced relative,ambig,
113,MVR,+ + + The mayor sent the document ...,quickly,Adv,ambig,
113,MVR,+ + + The mayor sent the document ...,by,PP,ambig,
113,MVR,+ + + The mayor sent the document ...,to the governor,PP,main verb,
113,MVR,+ + + The mayor sent the document ...,to people,PP,main verb,
113,MVR,+ + + The mayor sent the document ...,through,PP,ambig,
113,MVR,+ + + The mayor sent the document ...,document,ungram,NA,
113,MVR,+ + + The mayor sent the document ...,shared,VP,reduced relative,amb
113,MVR,+ + + The mayor sent the document ...,to be delivered,CP,ambig,
113,MVR,+ + + The mayor sent the document ...,via,PP,ambig,
113,MVR,+ + + The mayor sent the document ...,to congress,PP,main verb,
113,MVR,+ + + The mayor sent the document ...,completely,adv,ambig,
113,MVR,+ + + The mayor sent the document ...,mayor,ungram,NA,
113,MVR,+ + + The mayor sent the document ...,online,adv,ambig,
113,MVR,+ + + The mayor sent the document ...,immediatly,adv,ambig,
113,MVR,+ + + The mayor sent the document ...,later,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,the,relative clause,ambig,
114,MVR,+ + + The millionaire handed the lease ...,to his happy wife,PP,main verb,
114,MVR,+ + + The millionaire handed the lease ...,off,adv,main verb,
114,MVR,+ + + The millionaire handed the lease ...,to,PP,main verb,
114,MVR,+ + + The millionaire handed the lease ...,over,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,again,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,didn t load correctly,ungram,NA,
114,MVR,+ + + The millionaire handed the lease ...,to the man,PP,main verb,
114,MVR,+ + + The millionaire handed the lease ...,to the tenant,PP,main verb,
114,MVR,+ + + The millionaire handed the lease ...,already,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,to the poor farmer,PP,main verb,
114,MVR,+ + + The millionaire handed the lease ...,contract,compound,ambig,
114,MVR,+ + + The millionaire handed the lease ...,lazy,ungram,NA,
114,MVR,+ + + The millionaire handed the lease ...,back,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,easily,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,privately,adv,ambig,
114,MVR,+ + + The millionaire handed the lease ...,to others,PP,main verb,
114,MVR,+ + + The millionaire handed the lease ...,application,compound,ambig,
115,MVR,+ + + The engineer brought the equipment ...,home,adv,main verb,
115,MVR,+ + + The engineer brought the equipment ...,to,PP,main verb,
115,MVR,+ + + The engineer brought the equipment ...,down,PP,main verb,
115,MVR,+ + + The engineer brought the equipment ...,with,PP,ambig,
115,MVR,+ + + The engineer brought the equipment ...,out,PP,main verb,
115,MVR,+ + + The engineer brought the equipment ...,back,PP,main verb,
115,MVR,+ + + The engineer brought the equipment ...,cheap,ungram,NA,
115,MVR,+ + + The engineer brought the equipment ...,indoors,PP,main verb,
115,MVR,+ + + The engineer brought the equipment ...,and,conj,ambig,
115,MVR,+ + + The engineer brought the equipment ...,in,PP,ambig,
115,MVR,+ + + The engineer brought the equipment ...,up to date,ungram,NA,
115,MVR,+ + + The engineer brought the equipment ...,for construction,PP,ambig,
115,MVR,+ + + The engineer brought the equipment ...,yesterday,adv,ambig,
115,MVR,+ + + The engineer brought the equipment ...,over,adv,ambig,
115,MVR,+ + + The engineer brought the equipment ...,for work,PP,ambig,
115,MVR,+ + + The engineer brought the equipment ...,inside,adv,main verb,
115,MVR,+ + + The engineer brought the equipment ...,for,PP,ambig,
115,MVR,+ + + The engineer brought the equipment ...,bricks,ungram,NA,
115,MVR,+ + + The engineer brought the equipment ...,into,PP,main verb,
115,MVR,+ + + The engineer brought the equipment ...,needed,VP,reduced relative,amb
115,MVR,+ + + The engineer brought the equipment ...,promptly,adv,ambig,
116,MVR,+ + + The little girl fed the lamb ...,some,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,lettuce,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,carrots,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,a,DO/relative clause,ambig,
116,MVR,+ + + The little girl fed the lamb ...,some food,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,straw,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,milk,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,grass,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,hay,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,some grass,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,to,PP,main verb,
116,MVR,+ + + The little girl fed the lamb ...,food,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,cookies,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,with love,PP,ambig,
116,MVR,+ + + The little girl fed the lamb ...,treats,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,leaf,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,corn,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,strawberries,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,gross,ungram,NA,
116,MVR,+ + + The little girl fed the lamb ...,from,PP,ambig,
116,MVR,+ + + The little girl fed the lamb ...,lamb,ungram,NA,
116,MVR,+ + + The little girl fed the lamb ...,some hay,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,flowers,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,while,conj,main verb,
116,MVR,+ + + The little girl fed the lamb ...,and,conj,ambig,
116,MVR,+ + + The little girl fed the lamb ...,fuel,ungram,NA,
116,MVR,+ + + The little girl fed the lamb ...,girl,ungram,NA,
116,MVR,+ + + The little girl fed the lamb ...,greens,DO,main verb,
116,MVR,+ + + The little girl fed the lamb ...,honey,DO,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,yoga,ungram,NA,
117,MVR,+ + + The yoga instructor offered the position ...,the would ease backaches,ungram,NA,
117,MVR,+ + + The yoga instructor offered the position ...,of,PP,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,to,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,often,adv,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,promptly,adv,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,to her friend,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,freely,adv,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,for,PP,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,to the girl,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,example,compound,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,to the assistant,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,effortlessly,adv,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,to the new student,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,first,adv,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,standing,ungram,NA,
117,MVR,+ + + The yoga instructor offered the position ...,flexibly,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,as,PP,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,that,relative clause,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,down,ungram,NA,
117,MVR,+ + + The yoga instructor offered the position ...,assistance,compound,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,instructions,compound,ambig,
117,MVR,+ + + The yoga instructor offered the position ...,to everyone,PP,main verb,
117,MVR,+ + + The yoga instructor offered the position ...,good,adj,ambig,
118,MVR,+ + + The governor awarded the contract ...,gently,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,to,PP,main verb,
118,MVR,+ + + The governor awarded the contract ...,today,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,to brian,PP,main verb,
118,MVR,+ + + The governor awarded the contract ...,work,ungram,NA,
118,MVR,+ + + The governor awarded the contract ...,fault,ungram,NA,
118,MVR,+ + + The governor awarded the contract ...,person,compound,ambig,
118,MVR,+ + + The governor awarded the contract ...,appropriately,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,again,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,to the highest bidder,PP,main verb,
118,MVR,+ + + The governor awarded the contract ...,to the workers,PP,main verb,
118,MVR,+ + + The governor awarded the contract ...,to the employee,PP,main verb,
118,MVR,+ + + The governor awarded the contract ...,to the firm,PP,main verb,
118,MVR,+ + + The governor awarded the contract ...,yesterday,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,randomly,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,for,PP,ambig,
118,MVR,+ + + The governor awarded the contract ...,the,relative clause,ambig,
118,MVR,+ + + The governor awarded the contract ...,quickly,adv,ambig,
118,MVR,+ + + The governor awarded the contract ...,bidding,compound,ambig,
118,MVR,+ + + The governor awarded the contract ...,accordingly,adv,ambig,
119,MVR,+ + + The patient refused the treatment ...,that,relative clause,ambig,
119,MVR,+ + + The patient refused the treatment ...,because,conj,ambig,
119,MVR,+ + + The patient refused the treatment ...,today,adv,ambig,
