,item#_in_Provo,item,Sentence,Question,Option1,Option0,Correct answer,token,word,word_pos,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,"space.,","space,",12,5.4497292041778564,7.862297297055151,2.7248646020889282,3.9311486485275755
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,though,though,13,4.18827486038208,6.042403370953143,4.18827486038208,6.042403370953143
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,the,the,14,2.292759656906128,3.307752986968752,2.292759656906128,3.307752986968752
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,company,company,15,1.8188894987106323,2.624102859714842,1.8188894987106323,2.624102859714842
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,is,is,16,2.4237303733825684,3.496703790130987,2.4237303733825684,3.496703790130987
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,maintaining,maintaining,17,7.535881042480469,10.871978208715724,7.535881042480469,10.871978208715724
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,its,its,18,2.3210549354553223,3.3485744450122468,2.3210549354553223,3.3485744450122468
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,customary,customary,19,9.707564353942871,14.005054952543855,9.707564353942871,14.005054952543855
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,silence..,silence.,20,3.4658981561660767,5.000234082127001,1.7329490780830383,2.5001170410635005
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,A,A,0,8.911186218261719,12.856124165524259,8.911186218261719,12.856124165524259
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,bill,bill,1,6.191020965576172,8.931755245076346,6.191020965576172,8.931755245076346
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,was,was,2,5.051918029785156,7.288377088548588,5.051918029785156,7.288377088548588
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,drafted,drafted,3,5.83289098739624,8.415082901562485,5.83289098739624,8.415082901562485
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,and,and,4,4.454838752746582,6.426973776547469,4.454838752746582,6.426973776547469
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,introduced,introduced,5,1.7197177410125732,2.48102825668761,1.7197177410125732,2.48102825668761
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,into,into,6,3.0370521545410156,4.381540082277465,3.0370521545410156,4.381540082277465
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,Parliament,Parliament,7,5.1869120597839355,7.483132306177443,5.1869120597839355,7.483132306177443
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,several,several,8,10.44516372680664,15.069185909937225,10.44516372680664,15.069185909937225
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,times,times,9,3.795438289642334,5.475659998467084,3.795438289642334,5.475659998467084
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,but,but,10,5.138647556304932,7.413501346357315,5.138647556304932,7.413501346357315
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,met,met,11,9.587320327758789,13.831579492271556,9.587320327758789,13.831579492271556
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,with,with,12,0.5665037035942078,0.8172920838205948,0.5665037035942078,0.8172920838205948
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,great,great,13,5.974890232086182,8.619944507686641,5.974890232086182,8.619944507686641
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,"opposition.,","opposition,",14,3.3437260687351227,4.82397701745531,1.6718630343675613,2.411988508727655
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,mostly,mostly,15,4.097343921661377,5.911217756597406,4.097343921661377,5.911217756597406
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,from,from,16,0.7256271839141846,1.046858739767218,0.7256271839141846,1.046858739767218
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,farmers..,farmers.,17,7.354450345039368,10.61022904125242,3.677225172519684,5.30511452062621
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,The,The,0,7.6898956298828125,11.094174290185645,7.6898956298828125,11.094174290185645
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,human,human,1,7.711906433105469,11.125929166840955,7.711906433105469,11.125929166840955
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,body,body,2,1.572640299797058,2.2688403616193487,1.572640299797058,2.2688403616193487
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,can,can,3,3.70481538772583,5.344918787281178,3.70481538772583,5.344918787281178
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,tolerate,tolerate,4,5.48159122467041,7.9082644760124605,5.48159122467041,7.9082644760124605
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,only,only,5,4.0595550537109375,5.856699944204499,4.0595550537109375,5.856699944204499
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,a,a,6,1.7926065921783447,2.5861846408005627,1.7926065921783447,2.5861846408005627
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,small,small,7,1.8195483684539795,2.6250534078261607,1.8195483684539795,2.6250534078261607
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,range,range,8,4.8679938316345215,7.023030559977188,4.8679938316345215,7.023030559977188
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,of,of,9,0.03338915854692459,0.04817037345510346,0.03338915854692459,0.04817037345510346
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,"temperature.,","temperature,",10,5.0209832191467285,7.243747590649689,2.5104916095733643,3.6218737953248445
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,especially,especially,11,5.527423858642578,7.974386989754986,5.527423858642578,7.974386989754986
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,when,when,12,1.487307071685791,2.1457305366001767,1.487307071685791,2.1457305366001767
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,the,the,13,2.6294169425964355,3.7934467835132977,2.6294169425964355,3.7934467835132977
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,person,person,14,5.1278886795043945,7.397979568151645,5.1278886795043945,7.397979568151645
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,is,is,15,0.3774876594543457,0.5445995742915664,0.3774876594543457,0.5445995742915664
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,engaged,engaged,16,5.8562846183776855,8.448832776967803,5.8562846183776855,8.448832776967803
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,in,in,17,0.02366313897073269,0.03413869324494242,0.02366313897073269,0.03413869324494242
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,vigorous,vigorous,18,3.424207925796509,4.940087793519307,3.424207925796509,4.940087793519307
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,activity..,activity.,19,2.638132631778717,3.8060208650745047,1.3190663158893585,1.9030104325372523
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,Seeing,Seeing,0,14.856868743896484,21.4339308599577,14.856868743896484,21.4339308599577
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,Peter,Peter,1,8.646842002868652,12.474756076888998,8.646842002868652,12.474756076888998
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,slowly,slowly,2,8.437461853027344,12.172684373052354,8.437461853027344,12.172684373052354
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,advancing,advancing,3,7.10709810256958,10.253375187688494,7.10709810256958,10.253375187688494
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,upon,upon,4,6.808306694030762,9.822310304329314,6.808306694030762,9.822310304329314
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,him,him,5,2.957258701324463,4.266422463026539,2.957258701324463,4.266422463026539
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,through,through,6,5.40872049331665,7.80313423326244,5.40872049331665,7.80313423326244
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,the,the,7,0.37944531440734863,0.5474238733840354,0.37944531440734863,0.5474238733840354
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,air,air,8,2.702814817428589,3.899337533545434,2.702814817428589,3.899337533545434
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,with,with,9,4.133396148681641,5.963230125732544,4.133396148681641,5.963230125732544
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,dagger,dagger,10,11.121428489685059,16.044829729669868,11.121428489685059,16.044829729669868
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,"poised.,","poised,",11,7.697629809379578,11.105332352590974,3.848814904689789,5.552666176295487
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,he,he,12,2.1778151988983154,3.1419231874232114,2.1778151988983154,3.1419231874232114
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,sprang,sprang,13,6.6110734939575195,9.537762944684987,6.6110734939575195,9.537762944684987
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,upon,upon,14,4.465496063232422,6.442349025534604,4.465496063232422,6.442349025534604
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,the,the,15,1.67063307762146,2.410214056229547,1.67063307762146,2.410214056229547
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,bul.w.arks,bulwarks,16,13.840244065388106,19.967251477828327,4.613414688462702,6.655750492609442
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,to,to,17,4.40522575378418,6.355397348980782,4.40522575378418,6.355397348980782
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,cast,cast,18,6.762701988220215,9.756516621415237,6.762701988220215,9.756516621415237
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,himself,himself,19,3.394670248031616,4.89747393228852,3.394670248031616,4.89747393228852
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,into,into,20,2.485466718673706,3.58577050932512,2.485466718673706,3.58577050932512
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,the,the,21,0.3788662552833557,0.5465884676574694,0.3788662552833557,0.5465884676574694
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,sea..,sea.,22,5.695780158042908,8.21727378800226,2.847890079021454,4.10863689400113
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,Some,Some,0,11.533973693847656,16.640006649857774,11.533973693847656,16.640006649857774
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,months,months,1,6.870211601257324,9.911620206991767,6.870211601257324,9.911620206991767
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,"later.,","later,",2,3.0821663439273834,4.446626099578903,1.5410831719636917,2.2233130497894513
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,Michael,Michael,3,7.033012390136719,10.14649209776088,7.033012390136719,10.14649209776088
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,Larson,Larson,4,10.353588104248047,14.937070213405622,10.353588104248047,14.937070213405622
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,saw,saw,5,6.669055938720703,9.621413930203449,6.669055938720703,9.621413930203449
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,another,another,6,4.682011604309082,6.754714922921292,4.682011604309082,6.754714922921292
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,opportunity,opportunity,7,5.068933010101318,7.312924516271538,5.068933010101318,7.312924516271538
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,to,to,8,0.7210946083068848,1.0403196154161123,0.7210946083068848,1.0403196154161123
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,stack,stack,9,9.525938987731934,13.743024937411693,9.525938987731934,13.743024937411693
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,the,the,10,1.4976197481155396,2.1606085837436675,1.4976197481155396,2.1606085837436675
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,odds,odds,11,5.502823352813721,7.938895961992333,5.502823352813721,7.938895961992333
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,in,in,12,3.3094642162323,4.774547612757819,3.3094642162323,4.774547612757819
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,his,his,13,0.6315301060676575,0.9111053521958905,0.6315301060676575,0.9111053521958905
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,favor,favor,14,0.3733811378479004,0.5386751159346443,0.3733811378479004,0.5386751159346443
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,with,with,15,3.762259006500244,5.427792411217741,3.762259006500244,5.427792411217741
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,a,a,16,1.2325094938278198,1.7781353345939621,1.2325094938278198,1.7781353345939621
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,dash,dash,17,9.470928192138672,13.663661135413937,9.470928192138672,13.663661135413937
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,of,of,18,1.2278509140014648,1.7714144245808945,1.2278509140014648,1.7714144245808945
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,ingenuity..,ingenuity.,19,8.379187941551208,12.08861288995253,4.189593970775604,6.044306444976265
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,Bob,Bob,0,13.615501403808594,19.64301635449138,13.615501403808594,19.64301635449138
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,"Murphy.,","Murphy,",1,7.47548234462738,10.784841306846923,3.73774117231369,5.3924206534234616
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,the,the,2,2.5725271701812744,3.711372190972643,2.5725271701812744,3.711372190972643
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,Senior,Senior,3,8.305924415588379,11.982915964367916,8.305924415588379,11.982915964367916
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,P.GA,PGA,4,12.627234935760498,18.21724922196154,6.313617467880249,9.10862461098077
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,Tour,Tour,5,0.5416560769081116,0.7814445360227036,0.5416560769081116,0.7814445360227036
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,money,money,6,12.963274002075195,18.70205111647871,12.963274002075195,18.70205111647871
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,leader,leader,7,5.541295528411865,7.994399578939986,5.541295528411865,7.994399578939986
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,with,with,8,4.448516368865967,6.4178525046763095,4.448516368865967,6.4178525046763095
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,seven,seven,9,5.601731777191162,8.08159065534381,5.601731777191162,8.08159065534381
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,hundred,hundred,10,6.738710403442383,9.721904081033191,6.738710403442383,9.721904081033191
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,"thousand.,","thousand,",11,7.795939922332764,11.247163865017768,3.897969961166382,5.623581932508884
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,says,says,12,3.7348034381866455,5.388182398966924,3.7348034381866455,5.388182398966924
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,heat,heat,13,11.974963188171387,17.276220006402752,11.974963188171387,17.276220006402752
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,shouldn.t,shouldn't,14,7.19523106138513,10.38052417031056,3.597615530692565,5.19026208515528
