,item#_in_Provo,item,Sentence,Question,Option1,Option0,Correct answer,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,token,word,word_pos
0,1.0,73,"There are now rumblings that Apple might soon invade the smart watch space, though the company is maintaining its customary silence.",Which market is Apple rumored to enter?,Smart watches,Self-driving cars,1,10.71246188879013,15.45481564266954,5.356230944395065,7.72740782133477,silence..,silence.,20
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,7.048109531402588,10.16827266859675,7.048109531402588,10.16827266859675,A,A,0
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,9.107381820678711,13.139174588175475,9.107381820678711,13.139174588175475,bill,bill,1
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,2.7716152667999268,3.998595600664396,2.7716152667999268,3.998595600664396,was,was,2
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,4.739990234375,6.838360404994928,4.739990234375,6.838360404994928,drafted,drafted,3
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,2.819196939468384,4.067241443860381,2.819196939468384,4.067241443860381,and,and,4
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,4.551703929901123,6.566720687263157,4.551703929901123,6.566720687263157,introduced,introduced,5
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,2.384686231613159,3.440375000424495,2.384686231613159,3.440375000424495,into,into,6
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,5.060387134552002,7.300595423996485,5.060387134552002,7.300595423996485,Parliament,Parliament,7
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,9.325502395629883,13.453856059973381,9.325502395629883,13.453856059973381,several,several,8
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,0.6408874988555908,0.9246052163666921,0.6408874988555908,0.9246052163666921,times,times,9
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,5.779644012451172,8.338263754866896,5.779644012451172,8.338263754866896,but,but,10
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,8.877411842346191,12.807398040881807,8.877411842346191,12.807398040881807,met,met,11
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,0.47355780005455017,0.6831994897129868,0.47355780005455017,0.6831994897129868,with,with,12
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,4.1789984703063965,6.029020368993603,4.1789984703063965,6.029020368993603,great,great,13
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,4.923672199249268,7.103357464819775,2.461836099624634,3.5516787324098873,"opposition.,","opposition,",14
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,5.178269863128662,7.470664251920493,5.178269863128662,7.470664251920493,mostly,mostly,15
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,1.3058149814605713,1.88389279807168,1.3058149814605713,1.88389279807168,from,from,16
1,28.0,74,"A bill was drafted and introduced into Parliament several times but met with great opposition, mostly from farmers.",Who hates the bill most?,Construction workers,Farmers,0,9.96541976928711,14.377061681527351,4.982709884643555,7.188530840763676,farmers..,farmers.,17
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,5.106276512145996,7.366799801480822,5.106276512145996,7.366799801480822,The,The,0
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,9.372997283935547,13.522376699799537,9.372997283935547,13.522376699799537,human,human,1
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,2.5783300399780273,3.719743962451343,2.5783300399780273,3.719743962451343,body,body,2
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,4.2967634201049805,6.198919278058558,4.2967634201049805,6.198919278058558,can,can,3
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,8.517608642578125,12.288311748880437,8.517608642578125,12.288311748880437,tolerate,tolerate,4
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,5.001785755157471,7.216051504554742,5.001785755157471,7.216051504554742,only,only,5
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,1.3649238348007202,1.969168847658146,1.3649238348007202,1.969168847658146,a,a,6
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,2.4459824562072754,3.5288067596716424,2.4459824562072754,3.5288067596716424,small,small,7
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,6.625192165374756,9.558131881922574,6.625192165374756,9.558131881922574,range,range,8
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,0.10598403215408325,0.15290263760211237,0.10598403215408325,0.15290263760211237,of,of,9
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,8.56068229675293,12.350453896151393,4.280341148376465,6.1752269480756965,"temperature.,","temperature,",10
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,5.655021667480469,8.15847171579371,5.655021667480469,8.15847171579371,especially,especially,11
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,2.44946026802063,3.533824181527914,2.44946026802063,3.533824181527914,when,when,12
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,1.5422298908233643,2.2249674154015953,1.5422298908233643,2.2249674154015953,the,the,13
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,6.913268089294434,9.973737588760999,6.913268089294434,9.973737588760999,person,person,14
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,1.2720147371292114,1.8351293531939918,1.2720147371292114,1.8351293531939918,is,is,15
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,6.869068145751953,9.90997054940469,6.869068145751953,9.90997054940469,engaged,engaged,16
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,0.73072749376297,1.0542169314930578,0.73072749376297,1.0542169314930578,in,in,17
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,9.48345947265625,13.681739951672636,9.48345947265625,13.681739951672636,vigorous,vigorous,18
2,8.0,75,"The human body can tolerate only a small range of temperature, especially when the person is engaged in vigorous activity.",At which point are people resistent to a wider range of temperature?,When sleeping,When exercising,0,3.5557748079299927,5.129898681918506,1.7778874039649963,2.564949340959253,activity..,activity.,19
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,12.997178077697754,18.7509643582453,12.997178077697754,18.7509643582453,Seeing,Seeing,0
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,7.500097274780273,10.82035314451033,7.500097274780273,10.82035314451033,Peter,Peter,1
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,9.670339584350586,13.95135096205483,9.670339584350586,13.95135096205483,slowly,slowly,2
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,8.503019332885742,12.267263824137242,8.503019332885742,12.267263824137242,advancing,advancing,3
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,5.593018531799316,8.069020099426945,5.593018531799316,8.069020099426945,upon,upon,4
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,3.0958855152130127,4.466418679957787,3.0958855152130127,4.466418679957787,him,him,5
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,5.645317554473877,8.144471640082873,5.645317554473877,8.144471640082873,through,through,6
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,0.8338612914085388,1.2030075499043658,0.8338612914085388,1.2030075499043658,the,the,7
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,5.020929336547852,7.243669854491499,5.020929336547852,7.243669854491499,air,air,8
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,4.842476844787598,6.986217329594702,4.842476844787598,6.986217329594702,with,with,9
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,12.076642990112305,17.422912952421484,12.076642990112305,17.422912952421484,dagger,dagger,10
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,15.25415563583374,22.007094688765772,7.62707781791687,11.003547344382886,"poised.,","poised,",11
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,3.5334906578063965,5.09774944904477,3.5334906578063965,5.09774944904477,he,he,12
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,9.95269775390625,14.358707693027272,9.95269775390625,14.358707693027272,sprang,sprang,13
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,6.305158615112305,9.096421066040847,6.305158615112305,9.096421066040847,upon,upon,14
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,1.1409204006195068,1.6460002040228119,1.1409204006195068,1.6460002040228119,the,the,15
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,2.9945871829986572,4.320276078421814,2.9945871829986572,4.320276078421814,<UNK>,bulwarks,16
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,4.553464889526367,6.569261214981702,4.553464889526367,6.569261214981702,to,to,17
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,8.799287796020508,12.694688866673564,8.799287796020508,12.694688866673564,cast,cast,18
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,3.505354404449463,5.057157415857526,3.505354404449463,5.057157415857526,himself,himself,19
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,1.6452882289886475,2.373649168794907,1.6452882289886475,2.373649168794907,into,into,20
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,0.5834630727767944,0.8417592816369177,0.5834630727767944,0.8417592816369177,the,the,21
3,6.0,76,"Seeing Peter slowly advancing upon him through the air with dagger poised, he sprang upon the bulwarks to cast himself into the sea.",Did the man escape Peter\'s attempt to attack?,Yes,No,1,4.853095769882202,7.00153720016826,2.426547884941101,3.50076860008413,sea..,sea.,22
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,9.399500846862793,13.560613258600563,9.399500846862793,13.560613258600563,Some,Some,0
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,7.700869083404541,11.11000563716287,7.700869083404541,11.11000563716287,months,months,1
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,1.6205285787582397,2.3379285441933524,0.8102642893791199,1.1689642720966762,"later.,","later,",2
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,7.2395782470703125,10.444503635175955,7.2395782470703125,10.444503635175955,Michael,Michael,3
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,8.58240795135498,12.381797390305838,8.58240795135498,12.381797390305838,Larson,Larson,4
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,7.5982584953308105,10.961969850606197,7.5982584953308105,10.961969850606197,saw,saw,5
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,5.958401203155518,8.596155867419299,5.958401203155518,8.596155867419299,another,another,6
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,4.354767799377441,6.2826019083847795,4.354767799377441,6.2826019083847795,opportunity,opportunity,7
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,0.6556539535522461,0.9459087073290682,0.6556539535522461,0.9459087073290682,to,to,8
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,11.838133811950684,17.07881694388121,11.838133811950684,17.07881694388121,stack,stack,9
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,0.8682944178581238,1.2526840506754846,0.8682944178581238,1.2526840506754846,the,the,10
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,11.16739273071289,16.111142112258946,11.16739273071289,16.111142112258946,odds,odds,11
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,2.907611846923828,4.194797192387007,2.907611846923828,4.194797192387007,in,in,12
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,3.113156318664551,4.491335182449489,3.113156318664551,4.491335182449489,his,his,13
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,4.130237102508545,5.958672585484679,4.130237102508545,5.958672585484679,favor,favor,14
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,3.5787758827209473,5.163082218454533,3.5787758827209473,5.163082218454533,with,with,15
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,2.097864866256714,3.0265792390037496,2.097864866256714,3.0265792390037496,a,a,16
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,10.375897407531738,14.969255734618692,10.375897407531738,14.969255734618692,dash,dash,17
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,1.9355876445770264,2.7924626960372256,1.9355876445770264,2.7924626960372256,of,of,18
4,12.0,77,"Some months later, Michael Larson saw another opportunity to stack the odds in his favor with a dash of ingenuity.",Did Larson see more than one opportunity?,Yes,No,1,11.585211217403412,16.713926770999095,5.792605608701706,8.356963385499547,ingenuity..,ingenuity.,19
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,8.886311531066895,12.82023757766462,8.886311531066895,12.82023757766462,Bob,Bob,0
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,8.61966323852539,12.435545408353484,4.309831619262695,6.217772704176742,"Murphy.,","Murphy,",1
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,2.281264305114746,3.291168699946051,2.281264305114746,3.291168699946051,the,the,2
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,7.731414318084717,11.154073095758749,7.731414318084717,11.154073095758749,Senior,Senior,3
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,8.4082612991333,12.130556878758206,8.4082612991333,12.130556878758206,PGA,PGA,4
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,0.13638706505298615,0.19676494239334358,0.13638706505298615,0.19676494239334358,Tour,Tour,5
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,9.747991561889648,14.063379084965657,9.747991561889648,14.063379084965657,money,money,6
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,2.9456191062927246,4.2496300769962945,2.9456191062927246,4.2496300769962945,leader,leader,7
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,5.935864448547363,8.563642203308383,5.935864448547363,8.563642203308383,with,with,8
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,6.980587005615234,10.070858255495038,6.980587005615234,10.070858255495038,seven,seven,9
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,6.716561317443848,9.689949704502881,6.716561317443848,9.689949704502881,hundred,hundred,10
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,8.004842758178711,11.548546950320357,4.0024213790893555,5.774273475160179,"thousand.,","thousand,",11
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,9.851226806640625,14.21231606061285,9.851226806640625,14.21231606061285,says,says,12
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,14.052908897399902,20.27406197634323,14.052908897399902,20.27406197634323,heat,heat,13
5,13.0,78,"Bob Murphy, the Senior PGA Tour money leader with seven hundred thousand, says heat shouldn't be a factor.",Is the leader cocnered about the weather?,Yes,No,0,13.965418338775635,20.147839781291395,6.982709169387817,10.073919890645698,should.<UNK>,shouldn't,14
