,item,condition,targetPosition,Sentence,Option1,Option0,Ans,token,word,word_pos,logfreq,logfreq_s,length,length_s
46,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,poured,poured,6,7.350516171833998,-1.1308097359498726,6,0.2866949754802561
47,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,the,the,7,15.687451186819413,1.396106504820095,3,-0.8352420354837095
48,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,flour,flour,8,8.757311846936409,-0.7044114453944735,5,-0.087284028174399
49,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,onto,onto,9,9.512738628263644,-0.4754423819416364,4,-0.4612630318290542
50,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
51,26,RC_Obj,6,The chef who the cameraman distracted poured the flour onto the counter.,The chef,The cameraman,1,counter..,counter.,11,8.057060681965766,-0.9166568375202157,8,1.0346529827895663
52,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
53,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,children,children,1,10.946128957265577,-0.0409832797407627,8,1.0346529827895663
54,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,who,who,2,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
55,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,woke,woke,3,7.21081845347222,-1.173151967560455,4,-0.4612630318290542
56,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
57,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,father,father,5,10.232107612780684,-0.2574023988045618,6,0.2866949754802561
58,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,bothered,bothered,6,7.046647277848756,-1.2229120783450005,8,1.0346529827895663
59,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,him,him,7,11.779120842880276,0.2114956852992527,3,-0.8352420354837095
60,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,about,about,8,12.600500398855342,0.4604549654302672,5,-0.087284028174399
61,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
62,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,trip,trip,10,9.42424134192346,-0.5022658164190698,4,-0.4612630318290542
63,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,to,to,11,14.928149018365476,1.1659628156022577,2,-1.2092210391383649
64,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,the,the,12,15.687451186819413,1.396106504820095,3,-0.8352420354837095
65,27,RC_Subj,4,The children who woke the father bothered him about the trip to the beach.,The children,The father,0,beach..,beach.,13,9.298625936843544,-0.5403397136746906,6,0.2866949754802561
66,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
67,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,children,children,1,10.946128957265577,-0.0409832797407627,8,1.0346529827895663
68,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,who,who,2,12.587907409973832,0.4566380437357446,3,-0.8352420354837095
69,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
70,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,father,father,4,10.232107612780684,-0.2574023988045618,6,0.2866949754802561
71,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,woke,woke,5,7.21081845347222,-1.173151967560455,4,-0.4612630318290542
72,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,bothered,bothered,6,7.046647277848756,-1.2229120783450005,8,1.0346529827895663
73,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,him,him,7,11.779120842880276,0.2114956852992527,3,-0.8352420354837095
74,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,about,about,8,12.600500398855342,0.4604549654302672,5,-0.087284028174399
75,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,the,the,9,15.687451186819413,1.396106504820095,3,-0.8352420354837095
76,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,trip,trip,10,9.42424134192346,-0.5022658164190698,4,-0.4612630318290542
77,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,to,to,11,14.928149018365476,1.1659628156022577,2,-1.2092210391383649
78,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,the,the,12,15.687451186819413,1.396106504820095,3,-0.8352420354837095
79,27,RC_Obj,6,The children who the father woke bothered him about the trip to the beach.,The children,The father,1,beach..,beach.,13,9.298625936843544,-0.5403397136746906,6,0.2866949754802561
80,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
81,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,class,class,1,9.621655004873238,-0.4424299426643845,5,-0.087284028174399
82,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
83,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,disliked,disliked,3,5.648974238161206,-1.646545307694213,8,1.0346529827895663
84,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
85,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,teacher,teacher,5,8.837536046107568,-0.6800955749428048,7,0.6606739791349112
86,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,skim.med,skimmed,6,4.691347882229144,-1.9368008496943,7,0.6606739791349112
87,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,the,the,7,15.687451186819413,1.396106504820095,3,-0.8352420354837095
88,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,reading,reading,8,9.42294862137501,-0.502657638658632,7,0.6606739791349112
89,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,for,for,9,13.908199122518193,0.8568170741570548,3,-0.8352420354837095
90,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
91,28,RC_Subj,4,The class that disliked the teacher skimmed the reading for the week.,The class,The teacher,0,week..,week.,11,10.4521868287302,-0.1906966197575691,5,-0.087284028174399
92,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
93,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,class,class,1,9.621655004873238,-0.4424299426643845,5,-0.087284028174399
94,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
95,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
96,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,teacher,teacher,4,8.837536046107568,-0.6800955749428048,7,0.6606739791349112
97,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,disliked,disliked,5,5.648974238161206,-1.646545307694213,8,1.0346529827895663
98,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,skim.med,skimmed,6,4.691347882229144,-1.9368008496943,7,0.6606739791349112
99,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,the,the,7,15.687451186819413,1.396106504820095,3,-0.8352420354837095
100,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,reading,reading,8,9.42294862137501,-0.502657638658632,7,0.6606739791349112
101,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,for,for,9,13.908199122518193,0.8568170741570548,3,-0.8352420354837095
102,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,the,the,10,15.687451186819413,1.396106504820095,3,-0.8352420354837095
103,28,RC_Obj,6,The class that the teacher disliked skimmed the reading for the week.,The class,The teacher,1,week..,week.,11,10.4521868287302,-0.1906966197575691,5,-0.087284028174399
104,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
105,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,dancer,dancer,1,6.754604099487962,-1.3114300587634025,6,0.2866949754802561
106,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
107,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,loved,loved,3,9.05893591781695,-0.6129895065230304,5,-0.087284028174399
108,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
109,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,audience,audience,5,8.989818381366925,-0.6339389591772301,8,1.0346529827895663
110,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,ignored,ignored,6,7.8826922062890254,-0.9695077392333588,7,0.6606739791349112
111,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,some,some,7,12.138088193988304,0.3202983121388039,4,-0.4612630318290542
112,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,basic,basic,8,9.382274835883653,-0.5149858202921659,5,-0.087284028174399
113,29,RC_Subj,4,The dancer that loved the audience ignored some basic principles.,The dancer,The audience,0,principles..,principles.,9,8.192016914536875,-0.8757517452693959,11,2.156589993753532
114,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
115,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,dancer,dancer,1,6.754604099487962,-1.3114300587634025,6,0.2866949754802561
116,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
117,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
118,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,audience,audience,4,8.989818381366925,-0.6339389591772301,8,1.0346529827895663
119,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,loved,loved,5,9.05893591781695,-0.6129895065230304,5,-0.087284028174399
120,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,ignored,ignored,6,7.8826922062890254,-0.9695077392333588,7,0.6606739791349112
121,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,some,some,7,12.138088193988304,0.3202983121388039,4,-0.4612630318290542
122,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,basic,basic,8,9.382274835883653,-0.5149858202921659,5,-0.087284028174399
123,29,RC_Obj,6,The dancer that the audience loved ignored some basic principles.,The dancer,The audience,1,principles..,principles.,9,8.192016914536875,-0.8757517452693959,11,2.156589993753532
124,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
125,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,employees,employees,1,9.27902652976463,-0.5462802733609714,9,1.4086319864442216
126,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
127,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,noticed,noticed,3,8.504918160540624,-0.780911706470627,7,0.6606739791349112
128,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
129,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,fire.man,fireman,5,5.44673737166631,-1.707843089374148,7,0.6606739791349112
130,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,hurried,hurried,6,6.102558594613569,-1.5090643659790068,7,0.6606739791349112
131,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,across,across,7,10.393753262336755,-0.2084077723166682,6,0.2866949754802561
132,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,the,the,8,15.687451186819413,1.396106504820095,3,-0.8352420354837095
133,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,open,open,9,10.368918241811729,-0.2159352409357413,4,-0.4612630318290542
134,30,RC_Subj,4,The employees that noticed the fireman hurried across the open field.,The employees,The fireman,0,field..,field.,10,10.010681386638243,-0.3245164552252974,6,0.2866949754802561
135,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
136,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,employees,employees,1,9.27902652976463,-0.5462802733609714,9,1.4086319864442216
137,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
138,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
139,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,fire.man,fireman,4,5.44673737166631,-1.707843089374148,7,0.6606739791349112
140,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,noticed,noticed,5,8.504918160540624,-0.780911706470627,7,0.6606739791349112
141,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,hurried,hurried,6,6.102558594613569,-1.5090643659790068,7,0.6606739791349112
142,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,across,across,7,10.393753262336755,-0.2084077723166682,6,0.2866949754802561
143,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,the,the,8,15.687451186819413,1.396106504820095,3,-0.8352420354837095
144,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,open,open,9,10.368918241811729,-0.2159352409357413,4,-0.4612630318290542
145,30,RC_Obj,6,The employees that the fireman noticed hurried across the open field.,The employees,The fireman,1,field..,field.,10,10.010681386638243,-0.3245164552252974,6,0.2866949754802561
146,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
147,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,farmer,farmer,1,7.718240951959316,-1.0193527415793997,6,0.2866949754802561
148,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
149,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,approached,approached,3,7.873217054862741,-0.972379647672107,10,1.7826109900988767
150,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,the,the,4,15.687451186819413,1.396106504820095,3,-0.8352420354837095
151,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,customers,customers,5,9.240966565517944,-0.5578162085224193,9,1.4086319864442216
152,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,lifted,lifted,6,7.711101251840158,-1.02151677718156,6,0.2866949754802561
153,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,the,the,7,15.687451186819413,1.396106504820095,3,-0.8352420354837095
154,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,chickens,chickens,8,7.299797366758161,-1.1461825524619615,8,1.0346529827895663
155,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,from,from,9,13.161822523668638,0.630591111501295,4,-0.4612630318290542
156,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,their,their,10,12.71071619962035,0.4938612588033065,5,-0.087284028174399
157,31,RC_Subj,4,The farmer that approached the customers lifted the chickens from their coop.,The customers,The farmer,1,co.op..,coop.,11,5.765191102784844,-1.6113200981728515,5,-0.087284028174399
158,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,The,The,0,15.687451186819413,1.396106504820095,3,-0.8352420354837095
159,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,farmer,farmer,1,7.718240951959316,-1.0193527415793997,6,0.2866949754802561
160,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,that,that,2,14.11010071456357,0.9180132345037209,4,-0.4612630318290542
161,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,the,the,3,15.687451186819413,1.396106504820095,3,-0.8352420354837095
162,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,customers,customers,4,9.240966565517944,-0.5578162085224193,9,1.4086319864442216
163,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,approached,approached,5,7.873217054862741,-0.972379647672107,10,1.7826109900988767
164,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,lifted,lifted,6,7.711101251840158,-1.02151677718156,6,0.2866949754802561
165,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,the,the,7,15.687451186819413,1.396106504820095,3,-0.8352420354837095
166,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,chickens,chickens,8,7.299797366758161,-1.1461825524619615,8,1.0346529827895663
167,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,from,from,9,13.161822523668638,0.630591111501295,4,-0.4612630318290542
168,31,RC_Obj,6,The farmer that the customers approached lifted the chickens from their coop.,The customers,The farmer,0,their,their,10,12.71071619962035,0.4938612588033065,5,-0.087284028174399
