item,Type,CriticalPosition
1,MVRR_AMB,6
2,NPS_AMB,7
2,NPZ_AMB,8
2,MVRR_AMB,7
3,NPS_AMB,6
3,NPZ_AMB,7
3,MVRR_AMB,6
4,NPS_AMB,6
4,NPZ_AMB,7
4,MVRR_AMB,6
5,NPS_AMB,7
5,NPZ_AMB,8
5,MVRR_AMB,7
6,NPS_AMB,6
6,NPZ_AMB,7
6,MVRR_AMB,6
7,NPS_AMB,6
7,NPZ_AMB,7
7,MVRR_AMB,6
8,NPS_AMB,6
8,NPZ_AMB,7
8,MVRR_AMB,6
9,NPS_AMB,6
9,NPZ_AMB,7
9,MVRR_AMB,6
10,NPS_AMB,6
10,NPZ_AMB,7
10,MVRR_AMB,6
11,NPS_AMB,7
11,NPZ_AMB,8
11,MVRR_AMB,7
12,NPS_AMB,7
12,NPZ_AMB,8
12,MVRR_AMB,7
13,NPS_AMB,6
13,NPZ_AMB,7
13,MVRR_AMB,6
14,NPS_AMB,7
14,NPZ_AMB,8
14,MVRR_AMB,7
15,NPS_AMB,6
15,NPZ_AMB,7
15,MVRR_AMB,6
16,NPS_AMB,7
16,NPZ_AMB,8
16,MVRR_AMB,7
17,NPS_AMB,7
17,NPZ_AMB,8
17,MVRR_AMB,7
18,NPS_AMB,6
18,NPZ_AMB,7
18,MVRR_AMB,6
19,NPS_AMB,6
19,NPZ_AMB,7
19,MVRR_AMB,6
20,NPS_AMB,6
20,NPZ_AMB,7
20,MVRR_AMB,6
21,NPS_AMB,6
21,NPZ_AMB,7
21,MVRR_AMB,6
22,NPS_AMB,6
22,NPZ_AMB,7
22,MVRR_AMB,6
23,NPS_AMB,7
23,NPZ_AMB,8
23,MVRR_AMB,7
24,NPS_AMB,7
24,NPZ_AMB,8
24,MVRR_AMB,7
25,RC_Subj,5
25,RC_Obj,7
26,RC_Subj,4
26,RC_Obj,6
27,RC_Subj,4
27,RC_Obj,6
28,RC_Subj,4
28,RC_Obj,6
29,RC_Subj,4
29,RC_Obj,6
30,RC_Subj,4
30,RC_Obj,6
31,RC_Subj,4
31,RC_Obj,6
32,RC_Subj,4
32,RC_Obj,6
33,RC_Subj,4
33,RC_Obj,6
34,RC_Subj,4
34,RC_Obj,6
35,RC_Subj,4
35,RC_Obj,6
36,RC_Subj,4
36,RC_Obj,6
37,RC_Subj,4
37,RC_Obj,6
38,RC_Subj,4
38,RC_Obj,6
39,RC_Subj,4
39,RC_Obj,6
40,RC_Subj,5
40,RC_Obj,7
41,RC_Subj,4
41,RC_Obj,6
42,RC_Subj,4
42,RC_Obj,6
43,RC_Subj,4
43,RC_Obj,6
44,RC_Subj,4
44,RC_Obj,6
45,RC_Subj,5
45,RC_Obj,7
46,RC_Subj,4
46,RC_Obj,6
47,RC_Subj,4
47,RC_Obj,6
48,RC_Subj,4
48,RC_Obj,6
49,AttachMulti,13
49,AttachHigh,13
49,AttachLow,13
50,AttachMulti,12
50,AttachHigh,12
50,AttachLow,12
51,AttachMulti,12
51,AttachHigh,12
51,AttachLow,12
52,AttachMulti,11
52,AttachHigh,11
52,AttachLow,11
53,AttachMulti,13
53,AttachHigh,13
53,AttachLow,13
54,AttachMulti,13
54,AttachHigh,13
54,AttachLow,13
55,AttachMulti,14
55,AttachHigh,14
55,AttachLow,14
56,AttachMulti,12
56,AttachHigh,12
56,AttachLow,12
57,AttachMulti,12
57,AttachHigh,12
57,AttachLow,12
58,AttachMulti,9
58,AttachHigh,9
58,AttachLow,9
59,AttachMulti,13
59,AttachHigh,13
59,AttachLow,13
60,AttachMulti,14
60,AttachHigh,14
60,AttachLow,14
61,AttachMulti,15
61,AttachHigh,15
61,AttachLow,15
62,AttachMulti,12
62,AttachHigh,12
62,AttachLow,12
63,AttachMulti,14
63,AttachHigh,14
63,AttachLow,14
64,AttachMulti,13
64,AttachHigh,13
64,AttachLow,13
65,AttachMulti,12
65,AttachHigh,12
65,AttachLow,12
66,AttachMulti,13
66,AttachHigh,13
66,AttachLow,13
67,AttachMulti,13
67,AttachHigh,13
67,AttachLow,13
68,AttachMulti,10
68,AttachHigh,10
68,AttachLow,10
69,AttachMulti,12
69,AttachHigh,12
69,AttachLow,12
70,AttachMulti,13
70,AttachHigh,13
70,AttachLow,13
71,AttachMulti,14
71,AttachHigh,14
71,AttachLow,14
72,AttachMulti,15
72,AttachHigh,15
72,AttachLow,15
